"   ";"OWNER";"TABLE_NAME";"TABLESPACE_NAME";"CLUSTER_NAME";"IOT_NAME";"STATUS";"PCT_FREE";"PCT_USED";"INI_TRANS";"MAX_TRANS";"INITIAL_EXTENT";"NEXT_EXTENT";"MIN_EXTENTS";"MAX_EXTENTS";"PCT_INCREASE";"FREELISTS";"FREELIST_GROUPS";"LOGGING";"BACKED_UP";"NUM_ROWS";"BLOCKS";"EMPTY_BLOCKS";"AVG_SPACE";"CHAIN_CNT";"AVG_ROW_LEN";"AVG_SPACE_FREELIST_BLOCKS";"NUM_FREELIST_BLOCKS";"DEGREE";"INSTANCES";"CACHE";"TABLE_LOCK";"SAMPLE_SIZE";"LAST_ANALYZED";"PARTITIONED";"IOT_TYPE";"TEMPORARY";"SECONDARY";"NESTED";"BUFFER_POOL";"FLASH_CACHE";"CELL_FLASH_CACHE";"ROW_MOVEMENT";"GLOBAL_STATS";"USER_STATS";"DURATION";"SKIP_CORRUPT";"MONITORING";"CLUSTER_OWNER";"DEPENDENCIES";"COMPRESSION";"COMPRESS_FOR";"DROPPED";"READ_ONLY";"SEGMENT_CREATED";"RESULT_CACHE";"CLUSTERING";"ACTIVITY_TRACKING";"DML_TIMESTAMP";"HAS_IDENTITY";"CONTAINER_DATA";"INMEMORY";"INMEMORY_PRIORITY";"INMEMORY_DISTRIBUTE";"INMEMORY_COMPRESSION";"INMEMORY_DUPLICATE"
"671";"SYS";"ATTRIBUTE_TRANSFORMATIONS$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"3";"1";"0";"0";"0";"31";"0";"0";"         1";"         1";"    N";"ENABLED";"3";"09.01.2016 06:12:39";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"672";"SYS";"RULE_SET_IEUAC$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"1";"1";"0";"0";"0";"57";"0";"0";"         1";"         1";"    N";"ENABLED";"1";"09.01.2016 06:17:13";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"673";"SYS";"RULE_SET$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"17";"1";"0";"0";"0";"13";"0";"0";"         1";"         1";"    N";"ENABLED";"17";"28.09.2017 22:00:16";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"674";"SYS";"RULE$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"1";"1";"0";"0";"0";"203";"0";"0";"         1";"         1";"    N";"ENABLED";"1";"28.09.2017 22:00:16";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"675";"SYS";"RULE_MAP$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"33";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:16";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"676";"SYS";"RULE_EC$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"13";"1";"0";"0";"0";"18";"0";"0";"         1";"         1";"    N";"ENABLED";"13";"09.01.2016 06:17:11";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"677";"SYS";"REC_TAB$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"12";"1";"0";"0";"0";"47";"0";"0";"         1";"         1";"    N";"ENABLED";"12";"09.01.2016 06:17:04";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"678";"SYS";"REC_VAR$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"4";"1";"0";"0";"0";"167";"0";"0";"         1";"         1";"    N";"ENABLED";"4";"09.01.2016 06:17:04";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"679";"SYS";"RULE_SET_EE$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"19";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"680";"SYS";"RULE_SET_TE$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"138";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"681";"SYS";"RULE_SET_VE$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:17:14";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"682";"SYS";"RULE_SET_RE$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"287";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"683";"SYS";"RULE_SET_ROR$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"23";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"684";"SYS";"RULE_SET_FOB$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"8";"1";"0";"0";"0";"33";"0";"0";"         1";"         1";"    N";"ENABLED";"8";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"685";"SYS";"RULE_SET_NL$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"8";"1";"0";"0";"0";"51";"0";"0";"         1";"         1";"    N";"ENABLED";"8";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"686";"SYS";"SYS_IOT_OVER_6808";"SYSAUX";"";"RULE_SET_PR$";"VALID";"10";"";"1";"255";"65536";"1048576";"1";"2147483645";"";"";"";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         0";"    N";"ENABLED";"0";"09.01.2016 06:17:13";"NO";"IOT_OVERFLOW";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"687";"SYS";"RULE_SET_PR$";"";"";"";"VALID";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"N";"0";"";"";"";"0";"0";"0";"";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:17:13";"NO";"IOT";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"BASIC";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"688";"SYS";"RULE_SET_RDEP$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"2";"1";"0";"0";"0";"27";"0";"0";"         1";"         1";"    N";"ENABLED";"2";"28.09.2017 22:00:17";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
